timestamps population node_ids
2613.079 v1 234
2646.944 v1 234
2687.13 v1 234
2722.477 v1 234
2736.735 v1 234
2771.51 v1 234
2869.292 v1 234
711.53 v1 235
719.709 v1 235
736.916 v1 235
767.392 v1 235
1804.731 v1 235
1849.108 v1 235
1863.676 v1 235
1887.696 v1 235
1908.524 v1 235
1937.492 v1 235
1955.629 v1 235
1974.987 v1 235
1985.717 v1 235
1996.056 v1 235
2005.507 v1 235
2015.766 v1 235
2053.459 v1 235
2075.531 v1 235
2090.532 v1 235
2109.99 v1 235
2121.773 v1 235
2139.498 v1 235
2156.943 v1 235
2186.374 v1 235
2198.169 v1 235
2211.301 v1 235
2221.93 v1 235
2231.784 v1 235
2242.343 v1 235
2265.963 v1 235
2298.346 v1 235
1779.058 v1 235
1839.537 v1 234
1766.26 v1 235
1734.776 v1 235
780.771 v1 235
822.405 v1 235
834.2 v1 235
848.621 v1 235
871.898 v1 235
902.278 v1 235
944.023 v1 235
959.96 v1 235
970.435 v1 235
981.693 v1 235
1504.678 v1 235
1512.819 v1 235
1522.485 v1 235
1536.238 v1 235
1559.888 v1 235
1572.683 v1 235
1582.537 v1 235
1595.525 v1 235
1607.557 v1 235
1618.236 v1 235
1628.435 v1 235
1656.501 v1 235
1673.278 v1 235
1685.022 v1 235
1699.167 v1 235
1708.457 v1 235
1721.907 v1 235
1753.397 v1 235
1770.815 v1 234
1726.855 v1 234
1705.53 v1 234
946.681 v1 233
963.122 v1 233
973.633 v1 233
1505.562 v1 233
1514.321 v1 233
1530.692 v1 233
1573.416 v1 233
1592.942 v1 233
1611.674 v1 233
1664.637 v1 233
1681.907 v1 233
1696.885 v1 233
1707.792 v1 233
1724.512 v1 233
1735.223 v1 233
1757.789 v1 233
1803.929 v1 233
1852.178 v1 233
1882.955 v1 233
1901.747 v1 233
1944.403 v1 233
1966.32 v1 233
1985.442 v1 233
1998.648 v1 233
2011.64 v1 233
2053.898 v1 233
2093.042 v1 233
869.846 v1 233
2117.358 v1 233
830.799 v1 233
749.446 v1 233
2860.245 v1 232
2879.888 v1 232
2903.857 v1 232
2940.728 v1 232
2955.528 v1 232
2964.033 v1 232
2972.603 v1 232
2982.741 v1 232
2992.649 v1 232
68.216 v1 233
104.639 v1 233
139.575 v1 233
240.377 v1 233
289.8 v1 233
352.681 v1 233
435.603 v1 233
486.066 v1 233
517.807 v1 233
533.906 v1 233
549.559 v1 233
597.138 v1 233
626.377 v1 233
643.911 v1 233
671.354 v1 233
685.321 v1 233
712.228 v1 233
727.635 v1 233
769.029 v1 233
2777.438 v1 232
2136.071 v1 233
2189.923 v1 233
266.914 v1 234
327.925 v1 234
374.384 v1 234
485.206 v1 234
515.413 v1 234
532.096 v1 234
556.855 v1 234
595.876 v1 234
635.528 v1 234
674.152 v1 234
705.897 v1 234
735.527 v1 234
761.485 v1 234
825.26 v1 234
845.579 v1 234
870.299 v1 234
955.475 v1 234
967.777 v1 234
997.527 v1 234
1504.48 v1 234
1513.81 v1 234
1546.354 v1 234
1573.098 v1 234
